session,scan_idx,readout_id,brain_area,layer,unit_id
7,3,4082,RL,L4,4428
7,3,8496,RL,L5,9162
5,7,2302,V1,L23,2528
7,5,6779,V1,L4,7501
6,2,6400,V1,L5,6920
9,4,6590,AL,L23,7065
8,5,6972,AL,L4,7378
6,4,5964,AL,L5,6454
5,6,2265,LM,L23,2460
6,4,1833,RL,L23,2009
6,7,5572,RL,L4,6132
6,6,7573,RL,L5,8144
7,3,1993,V1,L23,2148
6,6,6034,V1,L4,6503
5,6,6940,V1,L5,7570
5,6,2448,AL,L23,2670
7,3,4809,AL,L4,5222
5,6,8480,AL,L5,9142
6,6,4428,LM,L23,4772
6,7,3838,RL,L23,4225
5,6,5095,RL,L4,5553
6,6,5950,RL,L5,6410
8,5,1771,V1,L23,1863
8,5,7521,V1,L4,7971
6,6,7727,V1,L5,8301
8,5,1456,AL,L23,1533
9,3,4082,AL,L4,4414
5,6,6119,AL,L5,6685
6,2,1220,LM,L23,1336
9,4,2427,RL,L23,2613
4,7,5060,RL,L4,5694
6,7,5567,RL,L5,6127
6,7,1295,V1,L23,1459
6,6,3918,V1,L4,4228
5,7,6798,V1,L5,7494
7,5,4314,AL,L23,4755
4,7,4836,AL,L4,5439
6,4,6696,AL,L5,7235
8,5,1559,LM,L23,1644
4,7,3190,RL,L23,3636
9,3,7463,RL,L4,8106
5,6,6168,RL,L5,6734
6,6,4133,V1,L23,4458
9,3,1955,V1,L4,2098
4,7,7250,V1,L5,8129
6,7,4143,AL,L23,4563
4,7,5666,AL,L4,6392
7,5,8020,AL,L5,8838
9,6,5110,LM,L23,5478
4,7,2949,RL,L23,3379
8,5,7034,RL,L4,7446
7,3,6847,RL,L5,7402
5,7,1883,V1,L23,2059
9,3,7485,V1,L4,8130
5,6,6415,V1,L5,6997
4,7,2258,AL,L23,2608
5,7,3754,AL,L4,4119
4,7,6831,AL,L5,7676
6,7,2972,LM,L23,3282
6,6,3949,RL,L23,4260
9,3,4199,RL,L4,4535
6,6,6561,RL,L5,7083
9,4,4969,V1,L23,5327
7,3,4242,V1,L4,4600
6,4,8022,V1,L5,8621
5,6,1306,AL,L23,1404
6,4,3548,AL,L4,3864
6,7,7335,AL,L5,8034
5,7,1314,LM,L23,1428
6,6,4030,RL,L23,4344
4,7,5737,RL,L4,6467
5,6,6618,RL,L5,7223
4,7,3028,V1,L23,3470
6,7,5896,V1,L4,6484
6,2,6716,V1,L5,7271
7,3,1314,AL,L23,1428
6,2,3699,AL,L4,4017
7,3,7884,AL,L5,8514
7,5,2085,RL,L23,2295
4,7,5659,RL,L4,6385
4,7,7183,RL,L5,8052
7,5,4551,V1,L23,5018
4,7,5872,V1,L4,6624
6,6,6021,V1,L5,6486
5,7,1253,AL,L23,1357
5,7,4662,AL,L4,5131
6,7,7746,AL,L5,8457
6,7,2962,RL,L23,3270
9,3,7690,RL,L4,8346
6,4,6143,RL,L5,6650
9,6,1701,V1,L23,1834
7,3,4237,V1,L4,4595
6,4,6341,V1,L5,6855
5,7,4629,AL,L23,5098
4,7,5933,AL,L4,6704
7,5,7991,AL,L5,8805
9,6,1527,RL,L23,1653
5,6,4511,RL,L4,4912
4,7,7209,RL,L5,8081
9,4,4110,V1,L23,4411
5,6,4847,V1,L4,5271
7,3,8050,V1,L5,8684
9,4,6589,AL,L23,7064
7,5,6885,AL,L4,7624
4,7,7442,AL,L5,8337
7,5,1331,RL,L23,1470
4,7,5645,RL,L4,6371
7,3,7979,RL,L5,8613
7,5,3969,V1,L23,4377
6,6,6357,V1,L4,6863
6,4,6488,V1,L5,7013
6,6,3313,AL,L23,3580
7,3,5064,AL,L4,5505
5,6,6129,AL,L5,6695
5,6,1866,RL,L23,2033
6,7,5589,RL,L4,6151
7,3,6207,RL,L5,6740
