session,scan_idx,unit_id,readout_id,unit_x,unit_y,unit_z,brain_area,field,pt_root_id,cc_max,layer,cell_type
6,4,7115,6584,1003.87,173.71,408.42,AL,6,864691135876869203,0.886602,L5,5P-IT
6,4,7117,6585,1159.32,66.97,406.5,AL,6,864691135156285284,0.674097,L5,5P-IT
6,4,7118,6586,916.06,718.98,413.93,V1,6,864691136603397073,0.556724,L5,5P-IT
6,4,7120,6588,1009.33,121.42,407.91,AL,6,864691135726338111,0.935867,L5,5P-IT
6,4,7121,6589,1286.01,408.51,408.84,RL,6,864691136602798545,0.760832,L5,5P-IT
6,4,7122,6590,1131.43,66.91,406.67,AL,6,864691136673734279,0.581159,L5,5P-IT
6,4,7125,6593,875.17,96.19,408.5,AL,6,864691135615100875,0.86615,L4,4P
6,4,7126,6594,1237.98,57.2,405.93,AL,6,864691135488242234,0.605596,L4,4P
6,4,7127,6595,881.28,292.98,410.26,AL,6,864691136724023037,0.441924,L5,5P-IT
6,4,7128,6596,916.77,293.06,410.04,RL,6,864691136311106650,0.559325,L5,5P-IT
6,4,7129,6597,836.94,1122.3,418.1,V1,6,864691136117039524,0.663252,L5,5P-IT
6,4,7130,6598,1205.97,266.35,408.03,RL,6,864691135778055613,0.443242,L5,5P-IT
6,4,7135,6601,1008.29,258.41,409.17,RL,6,864691135526922587,0.643658,L5,5P-IT
6,4,7139,6604,1245.06,1125.75,415.63,V1,6,864691136388602640,0.758777,L5,5P-IT
6,4,7141,6606,923.07,131.18,408.53,AL,6,864691135977075779,0.810481,L5,5P-IT
6,4,7142,6607,965.4,564.67,412.22,V1,6,864691135969842277,0.919243,L5,5P-IT
6,4,7143,6608,805.11,641.51,413.9,V1,6,864691136379570645,0.928753,L5,5P-IT
6,4,7146,6611,1115.61,480.34,410.54,RL,6,864691136010028974,0.807491,L5,5P-IT
6,4,7147,6612,1288.95,1021.24,414.41,V1,6,864691135742029419,0.963069,L5,5P-IT
6,4,7148,6613,1317.16,978.97,413.85,V1,6,864691135687321568,0.76984,L5,5P-IT
6,4,7150,6615,1224.88,1113.25,415.64,V1,6,864691135123334695,0.881885,L5,5P-IT
6,4,7151,6616,1166.67,1100.66,415.88,V1,6,864691136109764536,0.945878,L5,5P-IT
6,4,7153,6618,1207.11,1115.7,415.77,V1,6,864691135859384168,0.960875,L5,5P-IT
6,4,7155,6620,1310.87,473.33,409.28,RL,6,864691136100814453,0.678646,L5,5P-ET
6,4,7156,6621,1324.53,343.84,408.02,RL,6,864691136210024124,0.748502,L5,5P-ET
6,4,7158,6623,1001.79,113.93,407.89,AL,6,864691135645342191,0.915641,L5,5P-ET
6,4,7159,6624,1078.45,1033.2,415.81,V1,6,864691136009613996,0.842925,L5,5P-IT
6,4,7160,6625,1301.32,1061.12,414.7,V1,6,864691136089432119,0.808581,L5,5P-IT
6,4,7162,6627,1314.95,269.09,407.39,RL,6,864691134989037690,0.91508,L5,5P-ET
6,4,7164,6629,1297.58,553.0,410.09,RL,6,864691135645023727,0.932135,L5,5P-IT
6,4,7165,6630,978.88,126.33,408.14,AL,6,864691136195093224,0.761434,L5,5P-IT
6,4,7167,6631,1211.11,923.92,414.0,V1,6,864691135469055116,0.847375,L5,5P-IT
6,4,7169,6633,1321.61,393.65,408.49,RL,6,864691135367033849,0.931898,L5,5P-IT
6,4,7170,6634,1324.77,311.46,407.72,RL,6,864691135568755436,0.700915,L5,5P-IT
6,4,7171,6635,1296.16,1073.57,414.85,V1,6,864691135740855956,0.853369,L5,5P-IT
6,4,7173,6637,1170.83,886.46,413.9,V1,6,864691135776960941,0.903367,L5,5P-IT
