session,scan_idx,unit_id,readout_id,rf_x,rf_y,rf_sigma_x,rf_sigma_y,rf_theta,SSI
4,7,719,583,-0.0590098398,0.1372456973,21.6398763456,17.4849396781,0.4270767706,7.004599006
4,7,720,584,-0.1018689713,-0.0255451719,19.7376226148,23.7822673727,3.1415926536,6.5553718178
4,7,721,585,-0.1294227748,0.0913377293,15.5710881431,10.9979939536,-1.5553114437,6.4651357357
4,7,722,586,-0.1885505478,-0.1759370974,11.382141659,9.1461995002,3.1415926536,6.6193046676
4,7,723,587,-0.0598513032,0.0888354473,24.1795296884,13.7643819004,0.6086653552,6.8625828018
4,7,727,589,0.0113180977,0.2507599091,17.4838213895,11.8658872252,-3.1415926536,6.7095311415
4,7,728,590,-0.0060565364,0.1743129016,21.1613207039,14.5819179085,3.1415926536,6.858201179
4,7,729,591,-0.0924892664,0.1364743932,31.1809985032,12.9090168336,3.0617849915,6.5774788756
4,7,730,592,-0.2767175624,0.1653188535,42.689905213,15.3903216339,3.1415926536,6.4263604644
4,7,736,596,-0.1532616248,-0.2004712178,11.5653304689,17.1405934097,-0.0151290906,7.460009279
4,7,738,597,-0.0178989547,-0.1616758212,22.0753557592,16.487714972,-0.503186926,7.051264082
4,7,739,598,-0.0196804677,0.0696724717,16.6645282526,15.6362263416,-3.1415926536,7.4978224635
4,7,740,599,-0.0307695015,-0.0571142201,12.2467604513,13.4963118627,-0.4451476282,7.5615554489
4,7,742,600,-0.1351523763,0.0302542101,14.5414758849,8.4434846148,0.2505661362,6.7531882913
4,7,744,601,-0.1949206854,0.0221047541,10.9150134381,10.4041311274,-3.1415926536,6.7860924292
4,7,746,602,0.0234677214,0.2146573511,14.8684085527,11.9134807082,3.1415926536,6.6143672705
4,7,747,603,-0.0655061118,-0.0197537668,22.8727966289,15.2174705402,-3.1415926536,6.723778644
4,7,748,604,-0.0387067552,0.1864286788,15.2168135137,11.1664784641,-3.1415926536,6.934318434
4,7,756,609,-0.1276178822,0.0100375642,14.2829321887,14.7421476721,3.1415926536,7.7622007235
4,7,758,610,-0.0062038918,0.0351276957,16.547064498,13.9854524166,3.1415926536,7.1546606991
4,7,760,611,-0.1190789051,-0.026615993,12.2900501829,11.2288428472,-0.0398757079,8.5818512508
4,7,761,612,-0.0210982287,0.0567892712,16.0198217495,16.7352099776,-3.1415926536,7.2921882886
4,7,762,613,-0.0474329399,0.0247408382,15.5450710873,11.8114357535,3.1415926536,7.7403695141
4,7,763,614,-0.1240624058,-0.0297326997,25.4116848175,11.4450432851,3.1415926536,6.7761777324
4,7,764,615,-0.0945457797,0.0942268278,10.6611201203,10.9971993941,0.9885046477,7.6493714637
4,7,765,616,-0.1726652988,-0.081429973,11.8915381146,13.7264937001,-0.3709244077,7.4419266376
4,7,767,618,-0.1047666268,0.1003760758,17.6525750993,17.2129709809,-3.1415926536,7.0121066777
4,7,768,619,-0.0440302827,0.3263532365,20.2773890503,14.4322791828,-0.1857439435,6.8381598175
4,7,769,620,-0.0714933614,0.3158417337,12.138183401,15.0629486939,1.7470849498,8.1682686757
4,7,770,621,-0.0131244846,0.2670374007,19.2265081249,14.4149305581,0.2149288582,6.7640271652
4,7,775,626,-0.0865519542,-0.0802841443,13.9359323274,11.8043688327,3.1415926536,6.9433009323
4,7,777,628,-0.1332940451,-0.0586300352,15.1444302307,14.5779629697,-1.3133977184,7.7200054246
4,7,779,629,-0.1326165239,0.0859144733,14.4686755462,10.2398205766,0.1298067633,7.5873014561
4,7,780,630,-0.1147402285,0.0015691948,25.4729811224,11.0783790846,0.6632592682,6.7680332813
4,7,781,631,-0.1830948345,0.3074935272,27.1274323162,19.5318318975,-0.1248297512,6.7582902437
4,7,782,632,-0.042980635,0.1818635237,18.6559891239,15.1663353274,3.1415926536,6.8846769473
4,7,783,633,-0.008401291,0.2503974615,16.5310093237,12.7597624218,3.1415926536,6.971926957
4,7,784,634,-0.1059571025,0.3536105262,12.7741211557,14.6535100863,1.7123675921,7.7914130877
4,7,785,635,-0.1232848151,0.3012487636,16.0309091488,10.7672096169,0.1822444969,7.2302345985
4,7,791,641,-0.1674314174,0.0476224898,14.7814240698,11.2126589993,3.1415926536,7.854754302
4,7,792,642,-0.1932239267,-0.0009139009,12.5986357971,12.3106807384,3.1415926536,7.6583675511
4,7,793,643,-0.1727005054,-0.0948647582,14.6142964936,11.3142973236,0.4268681609,8.0981008904
4,7,795,644,-0.1282060106,-0.0915985187,25.1653963418,17.62376769,-3.1415926536,6.7625581322
4,7,796,645,-0.1099459822,0.0219667113,12.7996264516,11.96386095,-0.105478241,7.9882665413
4,7,797,646,-0.0897456952,0.1017408688,12.9800681368,11.8953603213,3.1415926536,7.5847761338
4,7,798,647,-0.0257826151,0.3180245521,18.3454070223,13.544324351,0.2873527148,6.6662509661
4,7,800,649,-0.1155134596,0.3287944499,19.4063788102,14.0106450314,3.1415926536,7.2234488322
4,7,805,654,-0.1586004887,-0.0181286522,17.2383148526,23.5497393683,-0.6519412212,6.9382889322
4,7,806,655,-0.2171883595,0.0448158576,12.8990946138,13.8171961693,2.318553902,8.0875631348
