session,scan_idx,unit_id,readout_id,pref_tf,pref_sf,pref_ori,pref_dir,OSI,DSI,gOSI,gDSI,STII,curve_corr,rf_x,rf_y,rf_sigma_x,rf_sigma_y,rf_theta,SSI,resp
6,6,6654,6175,0.5,0.01171875,34.59108525634488,214.59108525634488,0.25469786,0.28717545,0.11473282742939092,0.19482172296134231,0.25380009412765503,0.20021639313108075,-0.16847362686016298,0.1618214905812081,12.266423993637392,15.009302634424365,1.5940549372325337,8.565905717021941,4.7966557
6,2,1832,1677,2.0,0.030668907685641515,37.12064855120647,217.12064855120647,0.34595996,0.57487625,0.093437143201955,0.3125385544269614,0.627227783203125,0.117318571726317,-0.19229691648124658,-0.0804163386882174,20.775445099762933,12.791462055504217,-0.0014587044413597637,8.345877743755969,11.651837
6,4,2254,2057,1.5,0.023903072592038825,54.991613654739695,234.9916136547397,0.9065377,0.90881175,0.516275982022146,0.7336664729936,0.5326927304267883,0.030483370008558552,-0.20051566409424415,0.01972886518116579,21.915529086461234,14.501567448113509,3.1324663866325553,8.977862572032096,394.94327
9,4,5261,4905,1.0,0.01171875,16.046795553292952,196.04679555329295,0.3261346,0.08219218,0.1609512253894451,0.0351481496713608,0.2615087032318115,0.45744194059915144,-0.05146673112750111,0.009228409644918889,19.219645882864864,20.823991634620857,3.1415926535897927,8.296587293026189,7.6559477
4,7,1005,824,0.5,0.010452773071868312,14.398362447557872,194.39836244755787,0.3753329,0.39686614,0.11505984115757209,0.21909485673981743,0.5949668884277344,-0.4340933980924084,-0.0953685704849585,-0.01990282007438937,21.27495088974938,18.63176496312168,3.1415926535897927,8.742000869802371,6.31284
7,3,2034,1888,0.5,0.010452773071868312,32.49995131149801,32.49995131149801,0.4226596,0.4834022,0.14994805864806326,0.2272817827745621,0.6368545889854431,0.45962907362521066,-0.16725580578010568,-0.07255797667104047,19.996070829381832,16.677879163414435,-3.1415926535897927,8.512221156176068,10.506906
6,4,4767,4392,2.5,0.028556916926381914,119.22578055307218,299.2257805530722,0.69337076,0.3778481,0.3307729722861458,0.2507598722259637,0.5111273527145386,0.9007997729884695,-0.12805403672108862,-0.1504181404895789,20.9769337358181,14.328999485003918,-3.1415926535897927,8.643183301937183,172.01944
6,4,1444,1328,0.5,0.02225000975343107,98.15762772275173,278.1576277227517,0.3542529,0.4138559,0.1388543438168574,0.19147677610085553,0.474215567111969,-0.3415353255094621,-0.09396490720768558,-0.1025191715824797,21.984910093867697,17.1841321923449,-3.1415926535897927,8.830264894377473,17.411213
4,7,2893,2518,1.5,0.028051091375098133,74.59858125665036,254.59858125665036,0.7282382,0.41807044,0.3547537300015359,0.2589240769959951,0.4260181188583374,0.7828371275326703,0.002231732277257148,0.2170052803701632,13.891295578945776,18.857082067291454,1.5642738910551943,8.54241637774841,10.561549
6,4,1660,1532,0.5,0.01171875,161.10547693917013,161.10547693917013,0.07924977,0.1509088,0.047064311572344655,0.07410459392037336,0.6600219011306763,-0.533935765797086,-0.26248451728545963,0.020074953952641916,17.406663957273825,20.339478251927094,2.9418098857253945,8.564860134612324,11.756754
