session,scan_idx,unit_id,readout_id,brain_area,layer,MEDI,Gabor,MESI,Grating,Natural
4,7,879,711,RL,L23,8.144972,1.4142225980758667,0.5571168661117554,3.7837386131,3.762472152709961
4,7,881,712,V1,L23,33.019318,2.260279893875122,3.0370116233825684,4.6003732681,8.587693214416504
4,7,882,713,V1,L23,13.61541,4.617745876312256,3.775970220565796,3.6433041096,3.5036208629608154
4,7,883,714,V1,L23,15.071624,0.7714475989341736,0.9824474453926086,16.0440921783,25.193866729736328
4,7,884,715,V1,L23,7.19737,1.9326411485672,1.492212176322937,3.0926721096,5.553999423980713
4,7,886,716,V1,L23,109.88174438476562,5.99151611328125,9.821949005126951,4.8953456879,17.040693283081055
4,7,888,717,V1,L23,30.22138,7.283177375793457,12.694568634033203,2.8797767162,22.48101806640625
4,7,889,718,V1,L23,4.614543,1.9948031902313232,1.2912755012512207,24.6194267273,6.985866069793701
4,7,890,719,RL,L23,84.91979217529297,2.1628613471984863,6.270814418792725,5.3863630295,8.46437931060791
4,7,893,722,V1,L23,6.9856963,2.923060655593872,2.568392038345337,6.0496582985,13.81346035003662
4,7,894,723,V1,L23,62.71675,6.187304496765137,45.72343826293945,3.0032448769,16.275848388671875
4,7,895,724,V1,L23,71.261185,5.9230241775512695,9.244102478027344,1.9049421549,14.178459167480469
4,7,896,725,V1,L23,17.905684,3.572359085083008,2.9659879207611084,1.3236256838,29.174623489379883
4,7,897,726,RL,L23,101.28344,3.211533308029175,7.565424919128418,15.5252513885,47.25040054321289
4,7,898,727,V1,L23,46.98522567749024,4.7674479484558105,14.942926406860352,4.5195846558,10.268743515014648
4,7,899,728,V1,L23,20.399443,2.373852252960205,2.919198513031006,3.6893548965,7.713982582092285
4,7,901,730,V1,L23,9.880845069885254,1.5085809230804443,2.3616294860839844,1.94858706,3.133193016052246
4,7,902,731,V1,L23,10.567414,2.12868595123291,2.7020089626312256,2.9496533871,18.3029842376709
4,7,903,732,V1,L23,4.975025,0.6803250908851624,0.7605689764022827,1.7778049707,4.972712516784668
4,7,904,733,V1,L23,11.83891,3.2999372482299805,2.3025450706481934,2.4849104881,3.6749322414398193
4,7,905,734,V1,L23,1.0361916,0.3896403610706329,0.3217477798461914,1.9495903254,9.881987571716309
4,7,907,736,V1,L23,40.09482,2.1882612705230717,2.2005181312561035,3.1782813072,31.47943687438965
4,7,909,738,V1,L23,23.414968,9.298805236816406,9.635967254638672,11.7080659866,7.482840538024902
4,7,912,740,V1,L23,2.362914800643921,0.9152480959892272,1.901210069656372,1.6459617615,30.52733421325684
