session,scan_idx,unit_id,readout_id,start_frame,end_frame
4,7,2954,2571,12936,12995
4,7,2955,2572,65,124
4,7,2956,2573,55506,55565
4,7,2957,2574,22379,22438
4,7,2958,2575,41040,41099
4,7,2968,2583,2106,2165
4,7,2970,2585,5858,5917
4,7,2972,2586,28440,28499
4,7,2973,2587,4203,4262
4,7,2974,2588,60799,60858
4,7,2975,2589,7817,7876
4,7,2976,2590,54061,54120
4,7,2977,2591,18012,18071
4,7,2978,2592,1623,1682
4,7,2979,2593,65855,65914
4,7,2980,2594,42839,42898
4,7,2981,2595,55613,55672
4,7,2982,2596,69820,69879
4,7,2983,2597,14640,14699
4,7,2984,2598,26307,26366
4,7,2985,2599,10140,10199
4,7,2986,2600,52082,52141
4,7,2987,2601,30757,30816
4,7,2988,2602,17738,17797
4,7,2989,2603,21374,21433
4,7,2991,2605,21001,21060
4,7,2998,2611,55836,55895
4,7,2999,2612,58817,58876
4,7,3002,2615,49341,49400
4,7,3004,2617,23555,23614
4,7,3006,2619,14015,14074
4,7,3010,2623,48621,48680
4,7,3011,2624,65821,65880
4,7,3012,2625,6218,6277
4,7,3013,2626,7740,7799
4,7,3014,2627,60762,60821
4,7,3015,2628,4722,4781
4,7,3016,2629,21447,21506
4,7,3019,2630,61317,61376
4,7,3025,2634,7048,7107
4,7,3029,2637,22854,22913
4,7,3030,2638,66636,66695
4,7,3031,2639,38640,38699
4,7,3032,2640,69840,69899
4,7,3033,2641,58670,58729
4,7,3034,2642,44175,44234
4,7,3035,2643,15902,15961
4,7,3036,2644,7651,7710
4,7,3038,2645,37111,37170
4,7,3039,2646,16140,16199
